cpus,mem_limit[MB],test duration[s],test type,web servers,test data size,latency avg[s],latency std[s],latency max[s],req/s avg,req/s std,req/s max,latency distr 50%,Hdr latency distr 75% [s],Hdr latency distr 90% [s],Hdr latency distr 99% [s],Hdr latency distr 99.9% [s],Hdr latency distr 99.99% [s],Hdr latency distr 99.999% [s],Hdr latency distr 100% [s]
1,1024,30,matrix mult,1,15,"2,85","4,13","13,39","332,38","282,11",821,"1,62","5,51","10,12","13,06","13,36","13,39","13,4","13,4"
1,1024,30,lu factorization,1,15,"16,77","4,87","25,15",152,0,152,"16,89","21,15","23,31","24,77","25,1","25,15","25,17","25,17"
2,1024,30,matrix mult,1,15,"2,56","3,94","12,96","343,25","298,06",860,"0,00152","4,74","9,67","12,62","12,92","12,95","12,97","12,97"
2,1024,30,lu factorization,1,15,"17,23","4,84","25,23","155,5","0,5",156,"17,38","21,59","23,71","25,02","25,21","25,25","25,25","25,25"
3,1024,30,matrix mult,1,15,"3,25","4,38","13,8","308,25","240,04",728,"0,00289","6,5","10,78","13,5","13,75","13,8","13,81","13,81"
3,1024,30,lu factorization,1,15,"17,21","4,85","25,21","156,5","0,5",157,"17,38","21,54","23,66","24,95","25,2","25,21","25,23","25,23"
1,1024,30,matrix mult,2,15,"3,13","4,42","14,13","295,38","247,79",732,"0,00151","6,12","10,9","13,71","14,02","14,11","14,14","14,14"
1,1024,30,lu factorization,2,15,"16,79","4,91","25,8",139,1,140,"16,77","21,04","23,59","25,26","25,71","25,8","25,82","25,82"
2,1024,30,matrix mult,2,15,"2,87","4,25","13,97","322,43","268,91",774,"0,00156","5,53","10,42","13,43","13,84","13,94","13,98","13,98"
2,1024,30,lu factorization,2,15,"17,22","1,9","25,97","139,5","0,5",140,"17,19","21,45","24,1","25,59","25,87","25,95","25,99","25,99"
3,1024,30,matrix mult,2,15,"2,72","4,14","13,68","319,38","290,19",824,"0,00146","5,12","10,14","13,25","13,58","13,66","13,69","13,69"
3,1024,30,lu factorization,2,15,"17,21","4,9",26,140,1,141,"17,25","21,48","24,04","25,54","25,8","25,95","26,02","26,02"
